,date,iso_a3,currency_code,name,dollar_price,SH_XPD_CHEX_PC_CD_2016,NY_GDP_PCAP_CD_2016,PA_NUS_PPPC_RF_2016,IT_NET_BBND_P2_2016,EN_ATM_PM25_MC_T3_ZS_2016,IT_NET_SECR_P6_2016,SL_TLF_ACTI_1524_ZS_2016,SP_DYN_LE00_IN_2016,predictions
2,2019-07-09,AUS,AUD,Australia,4.260105,5002.35827732,50019.967767711394,1.05634080652206,30.65341372,9.220748287938859,9810.215053118929,66.6669998168945,82.44878048780491,4.842367994567794
50,2019-07-09,UKR,UAH,Ukraine,2.2224388341943704,141.19114781,2187.73199668415,0.263909438629287,12.21740817,97.8534475485002,1905.46997982097,34.6119995117188,71.4763414634146,2.8113794764465396
39,2019-07-09,PER,PEN,Peru,3.19459656809054,316.43713498,6205.37090038145,0.462941512075349,6.674553867999999,97.558943417747,72.5278949462382,59.685001373290994,74.983,3.160770932215747
35,2019-07-09,NOR,NOK,Norway,4.853948166767791,7477.89760673,70941.52526808331,1.22021726190476,40.14309872,0.0,7003.5088228736995,54.6450004577637,82.4073170731707,5.448118236501625
23,2019-07-09,IND,INR,India,2.66941290420454,62.71555407,1729.26802051544,0.260634289971153,1.40867811,99.938251622829,38.2956834901404,31.4389991760254,68.56,2.6507443374383213
44,2019-07-09,RUS,RUB,Russia,2.03638072487322,469.13086784,8745.37511648808,0.36329653319096505,19.11769882,60.274506251944196,1163.94770113141,37.266998291015604,71.6512195121951,2.8918911157327
10,2019-07-09,COL,COP,Colombia,3.6876355748373104,340.36546879,5871.22352385952,0.411738035684446,12.15324251,58.93805818860121,320.00320854336104,54.20500183105471,74.381,3.0877538491282164
22,2019-07-09,IDN,IDR,Indonesia,2.26468506723284,111.55321931,3562.84575641971,0.30702210386713896,2.001946985,51.1789119626484,306.223306825866,46.266998291015604,69.191,2.7121892063951467
18,2019-07-09,HKG,HKD,Hong Kong,2.6246719160105,846.75300809,43734.2499937722,0.744345514244882,35.958982,82.74046684982291,3873.3200665158297,40.6829986572266,84.2268292682927,3.824275847986496
54,2019-07-09,ZAF,ZAR,South Africa,2.18694885361552,428.17601764,5262.0528858139705,0.398005039478572,2.054378796,99.8693233525484,917.644963083717,26.3080005645752,62.773999999999994,2.3820781669756177
20,2019-07-09,HRV,HRK,Croatia,3.3342932056198,884.49111374,12366.821538247901,0.504262976718213,24.7740173,73.9379248075784,1724.58028784848,36.939998626709,78.0219512195122,3.4237640717064304
7,2019-07-09,CHE,CHF,Switzerland,6.54219717175784,9835.96368572,80037.5030399055,1.24638216654482,44.91361848,1.3814784788063001,17196.7260846272,68.4940032958984,83.60243902439029,6.101202794421128
42,2019-07-09,QAT,QAR,Qatar,3.5697123635614707,1827.06034376,57163.0609918357,0.462583001175805,9.873048684,100.0,362.797405339263,66.7969970703125,78.184,3.7375226774507357
14,2019-07-09,EGY,EGP,Egypt,2.52783629250677,130.9858695,3525.02016450058,0.312107523819932,4.670525242,100.0,14.696061726508601,31.864000320434602,71.484,2.857930184181465
28,2019-07-09,KWT,KWD,Kuwait,3.61247947454844,1068.32321339,27653.164401010497,0.36535115612614705,2.501860541,100.0,398.041584857538,26.118000030517603,74.694,3.3301677415978843
51,2019-07-09,URY,UYU,Uruguay,4.66313140647436,1379.09855737,15387.1440299446,0.705176965249677,26.76452945,0.0,309.859549807075,51.0029983520508,77.493,3.545816296233888
38,2019-07-09,PAK,PKR,Pakistan,3.0485868529692,39.57887533,1368.45432627629,0.27503001971295005,0.850297849,100.0,31.6656976085778,41.8400001525879,66.48100000000001,2.511904656201115
